Date,Closing,Volume,Open,High,Low
2024-10-21,17.6502,2361303,17.6892,17.7185,17.5722
2024-10-22,17.4455,2630698,17.4552,17.4942,17.3772
2024-10-23,17.0944,2842236,17.0651,17.2017,16.9872
2024-10-24,17.2504,2544491,17.1627,17.2992,17.1529
2024-10-25,17.1822,2607447,17.1139,17.2358,17.1042
2024-10-28,17.3089,2573747,17.2699,17.3479,17.2407
2024-10-29,17.4064,2698742,17.3187,17.4357,17.2602
2024-10-30,17.5332,3015313,17.621,17.66,17.5186
2024-10-31,17.1627,2136271,17.3772,17.3772,17.1237
2024-11-01,17.2894,1581125,17.2407,17.3967,17.1822
2024-11-04,17.2992,1727604,17.3089,17.4064,17.2797
2024-11-05,17.6015,2271733,17.5527,17.6502,17.4552
2024-11-06,17.543,2960259,17.5527,17.5722,17.3869
2024-11-07,17.816,3689062,17.7478,17.8843,17.6697
2024-11-08,19.4153,10593700,19.0106,20.1515,19.0106
2024-11-11,18.6449,4156740,18.8594,18.9179,18.4206
2024-11-12,18.2061,2713158,18.5279,18.5376,18.1573
2024-11-13,18.0403,2966840,18.2256,18.2451,17.9818
2024-11-14,18.0305,2083492,18.1378,18.2061,18.0013
2024-11-15,18.0013,2958424,18.1183,18.1866,17.9525
2024-11-18,18.4986,2881002,18.2548,18.5864,18.2548
2024-11-19,18.4499,2557360,18.3426,18.5279,18.3426
2024-11-20,18.7034,6542856,18.7717,18.8594,18.6254
2024-11-21,18.5961,1707766,18.6059,18.6741,18.4937
2024-11-22,18.5864,2068923,18.5474,18.6644,18.4986
2024-11-25,18.9374,3326442,18.8302,19.0154,18.8302
2024-11-26,18.8887,1783120,18.9374,18.9618,18.835
2024-11-27,19.269,2494189,19.269,19.4738,19.2544
2024-11-29,19.5518,1247922,19.4835,19.5567,19.4153
2024-12-02,19.5128,3337948,19.503,19.5762,19.4348
2024-12-03,19.9613,3364479,19.9418,19.9808,19.8151
2024-12-04,20.4684,4284754,20.4879,20.5659,20.3709
2024-12-05,20.3807,3637554,20.5269,20.5464,20.3807
2024-12-06,20.4197,1973182,20.4587,20.5172,20.3808
2024-12-09,20.5757,4085324,20.7707,20.878,20.5123
2024-12-10,21.229,5038532,21.3558,21.4923,21.2217
2024-12-11,21.6191,4175120,21.5118,21.6971,21.5021
2024-12-12,21.8239,4658665,22.0335,22.1457,21.8239
